"identifier","description","validValues","default","examples","validation","error"
"xdoi","For studies with a DOI, ""doi:"" directly followed by the DOI; for studies without a DOI, the DOI prefix of the publisher (see https://gist.github.com/TomDemeranville/8699224), followed by a slash, followed by the ISSN, followed by a dash, followed by the year of publication, followed by a dash, followed by the starting page. If no DOI prefix can be located, instead use 'NA'.",NA,"""enter xdoi here""","""doi:10.18637/jss.v036.i03"" || ""nodoi:10.1111/0965-2140/2003-951"" || ""doi:10.1136/bmj.2.2288.1243""","nchar(VALUE)>10","NAME does not have at least 10 characters."
"numeric","Any valid number",NA,NA,"2.3 || 643.2","is.na(VALUE) || (is.numeric(VALUE) && (length(VALUE) == 1))","NAME is not numeric, or contains more than one value."
"numeric.multi","A vector of valid numbers",NA,NA,"c(23.43, 62) || 52.2 || c(76, 12.56, 42)","is.na(VALUE) || (is.numeric(VALUE))","NAME is not a numeric vector."
"integer","Any valid whole number",NA,NA,"30 || 8762","is.na(VALUE) || (is.numeric(VALUE) && (VALUE%%1==0) && (length(VALUE) == 1))","Error about NAME here."
"integer.multi","A vector of integers (i.e. one or more whole numbers)",NA,NA,"c(23, 62) || 52 || c(76, 12, 42)","is.na(VALUE) || (is.numeric(VALUE) && all(VALUE%%1==0))","Error about NAME here."
"integer.length4","One year",NA,NA,"2001 || 2002 || 1987","(is.numeric(VALUE) && (nchar(VALUE)==4))",NA
"integer.length4.multi","A numeric vector of years",NA,NA,"2001 || c(2001, 2002)","is.na(VALUE) || (is.numeric(VALUE) && all(nchar(VALUE)==4))","Error about NAME here."
"string","A single character value",NA,"""""","""example"" || ""another example""","is.na(VALUE) || (is.character(VALUE) && length(VALUE) == 1)","Error about NAME here."
"string.multi","A character vector (i.e. one or more strings)",NA,NA,"c(""first value"", ""second value"")","is.na(VALUE) || (is.character(VALUE))","Error about NAME here."
"countrycode","A character vector of the ISO 3166-1 alpha-2 country code(s)",NA,NA,"""NL"" || c(""NL"", ""BE"")","is.na(VALUE) || (VALUE %in% countryCodeList())","Error about NAME here."
"categorical","A string that has to exactly match one of the values specified in the ""values"" column of the Coding sheet",NA,NA,"<<validValues>>","is.na(VALUE) || (VALUE %in% <<validValues>>)","Error about NAME here."
"therapyIngredient","Whether a given therapy ingredient was used in the treatment for a group","""unknown"" || ""present"" || ""absent""",NA,"<<validValues>>","is.na(VALUE) || (VALUE %in% <<validValues>>)","Error about NAME here."
"string.mandatory","A single character value that cannot be omitted",NA,"""enter name here (mandatory)""","""example"" || ""another example""","!is.na(VALUE) && !is.null(VALUE) && (nchar(VALUE) > 0)","This string (character value) must be entered."
"string.entityRef.mandatory","A string that specifies another entity and which MUST be provided",NA,"""enter <<entityRef>> here""","<no example>","!is.null(FindNode(node$root, ""<<entityRef>>""))","Enter a valid reference to another entity - or remove unused entities."
"string.entityRef.optional","A string that specifies another entity (can be missing, i.e. NA)",NA,NA,"<no example>","is.na(VALUE) || (is.na(VALUE) || !is.null(FindNode(node$root, ""<<entityRef>>"")))","Error about NAME here."
"string.fieldRef.optional","A string that specifies another field in another entity (can be missing, i.e. NA).",NA,NA,"<no example>","""The extraction script is checked for existence of the field in the referent entity, if it is not NA""","Error about NAME here."
"string.fieldRef.mandatory","A string that specifies another field in another entity.",NA,NA,"<no example>","""The extraction script is checked for existence of the field in the referent entity, if it is not NA""","Error about NAME here."
"matrix.crosstab","A table with frequencies; variable 1 in columns, variable 2 in rows; always work from absence/negative/less (left, top) to presence/positive/more (right, bottom)",NA,NA,"rawTable(10, 5, 15, 10) || rawTable(31, 87, 21, 54, 25, 32, ncol=3)","is.na(VALUE) || (class(VALUE) == ""matrix"")","Error about NAME here."
"categorical.multi","A character vector with one or more elements, each of which has to exactly match one of the values specified in the ""values"" column of the Coding sheet",NA,NA,"<<validValues>>","is.na(VALUE) || (VALUE %in% <<validValues>>)","Error about NAME here."
